Book	Concordance1	Concor-dance2	Concordance3	Lemma	‘	NOT	Tense	Voice	?	Time reference	Continuous	Repeated	Extra function	Comment	Annotator
book291		been doing		do			perfect	A		perfect	no	yes			T
book163		was plain Basil was taking		take			past	A		past	no	no			T
book152		is, cowering		cower			NOT progressive	A		present	yes	no			T
book47		are the little traveling		travel			NOT progressive	A		present	yes	no			T
book246		's dying		die	c		present	A		present	yes	no	gradual change		T
book189		was going		go			GOING TO	A		past	yes	no			T
book48		'm not going		go	c	n	GOING TO	A		present	yes	no			T
book41		'm going		go	c		GOING TO	A		present	yes	no			T
book166		're dealing		deal with	c		present	A		present	yes	no			T
book60		're shifting		shift	c		present	A		general	no	yes			T
book100		are excepting		except			present	A	q	present	yes	no			T
book236		was spying		spy			past	A		past	yes	unclear			T
book176		was even worse, going		go			past	A		past	yes	no			T
book135		be calling		call in			modal	A		future	no	no			T
book36		was browsing		browse			past	A		past	yes	no			T
book164		been advancing		advance			perfect	A		past	yes	no	gradual change		T
book239		were sort of snubbing		snub			past	A		past	yes	yes			T
book128		were working		work			past	A		past	yes	no			T
book18		was going		go on			past	A		past	yes	no			T
book267		was going to start screaming		go			GOING TO	A		past	yes	no			T
book284		'm going		go	c		present	A		future	no	no			T
book41		was worrying		worry			past	A		past	yes	no			T
book211		was fastened on being		be			NOT progressive	A		past	yes	no			T
book65		is happening		happen			present	A		present	yes	no			T
book73		were just fooling		fool around			past	A		past	yes	no			T
book175		were nibbling		nibble			past	A		past	yes	no			T
book255		been driving		drive			perfect	A		past	yes	no			T
book147		be the point in bothering		bother			NOT progressive	A		modal/infinitive	yes	no			T
book126		were never coming		come back			past	A		future	no	no	reported speech/thought		T
book167		is going		go			GOING TO	A		present	yes	no			T
book132		was turning		turn			past	A		past	yes	no	gradual change		T
book150		is stealing		steal			present	A		present	yes	no			T
book41		be saying		say			modal	A		future	no	no			T
book109		was shaking and rattling		shake			past	A		past	yes	no			T
book281		's nothing wrong with being		nothing	c	n	NOT progressive	A		present	yes	no			T
book105		was NOT going		go			GOING TO	A		past	yes	no			T
book127		was groaning		groan			past	A		past	no	no			T
book14		is looking		look over			present	A		present	yes	no		picture description	T
book255		was sinking		sink			past	A		past	yes	no	gradual change		T
book171		be bringing		bring			catenative	A		hypothetical	no	no			T
book285		be a real pleasure running		run			NOT progressive	A		modal/infinitive	yes	no			T
book269		was waiting		wait			past	A		past	yes	no			T
book24		're coming		come	c		present	A	q	present	yes	no			T
book40		was now cowering		cower			past	A		past	yes	no			T
book207		're leaving		leave	c		present	A		present	no	no			T
book83		was staring		stare at			past	A		past	yes	no			T
book156		was waiting		wait			past	A		past	yes	no			T
book179		were already swarming		swarm			past	A		past	yes	yes			T
book241		was saying		say			past	A		past	no	no			T
book163		be dreaming		dream			modal	A		present	yes	no			T
book72		be traveling		travel			modal	A		past	yes	no		tense shifting without reported speech → future ref.?	T
book68		be looking		look for			modal	A	q	future	yes	no			T
book247		'm saying		say	c		present	A		present	yes	no			T
book285		was spinning		spin			past	A		past	yes	no			T
book17		was not even looking		look at		n	past	A		past	yes	no			T
book209		were missing		miss			past	A		past	yes	no			T
book123		were baking		bake			past	A		past	yes	no			T
book134		're sitting		sit	c		present	A		general	yes	no		general ref.?	T
book57		was looking		look			past	A		past	yes	no			T
book62		been paying		pay attention			perfect	A		past/present	yes	no			T
book5		was retching		retch			past	A		past	yes	no			T
book126		'm thinking and sending		think	c		present	A		present	yes	no			T
book19		are probably wondering		wonder			present	A		present	yes	no			T
book98		was chasing		chase			past	A		past	yes	no			T
book128		been thinking		think about			perfect	A		perfect	yes	no			T
book202		were giving		give			past	A		past	no	no			T
book75		wasn't being		be	c	n	past	A		past	yes	no			T
book125		was chopping		chop up			past	A		past	no	yes			T
book71		was saying		say			past	A		past	yes	no			T
book258		was going		go			past	A		past	yes	no			T
book13		are coming		come back			present	A		future	no	no			T
book185		was that I was staring		stare at			past	A		past	yes	no			T
book204		was adding		add			past	A		past	no	no			T
book70		'm being		hang	c		present	P		future	no	no			T
book192		is getting		get into			present	A		present	no	no			T
book102		was walking		walk			past	A		past	yes	no			T
book96		'm really being		be	c		present	A		present	yes	no	emphasis/shock		T
book48		was concerned, anyone looking		look			NOT progressive	A		past	yes	no			T
book12		was walking		walk along			past	A		past	yes	no			T
book18		's drinking		drink	c		present	A		present	yes	yes			T
book264		was coming		come			past	A		future	unclear	no			T
book206		're taking		take	c		present	A		present	yes	no			T
book44		'm going		go	c		GOING TO	A		present	yes	no			T
book236		was speaking		speak			past	A		past	yes	no			T
book179		're walking		walk around	c		present	A		present	yes	unclear			T
book22		be meeting		meet			modal	A		hypothetical	yes	yes			T
book127		are choking		choke			present	A		present	no	no		 	T
book70		're going		go	c		GOING TO	A		present	yes	no			T
book169		was making little retching		make			past	A		past	yes	no			T
book88		was hoping		hope			past	A		past	yes	no			T
book204		'm only telling		tell	c		present	A		present	no	no			T
book172		was just crying and crying		cry			past	A		past	yes	yes			T
book224		was obsessed with playing		play			NOT progressive	A		past	yes	no			T
book16		was beginning		begin			past	A		past	yes	no	gradual change		T
book89		'm going		go	c		present	A		unclear	no	no		present or future ref.?	T
book34		was shaking		shake			past	A		past	yes	no			T
book215		was returning		return			past	A		past	yes	no			T
book49		'm just looking		look	c		present	A		present	yes	no			T
book62		was 'I'm Going		go	c		GOING TO	A		past	yes	no			T
book242		was standing		stand up			past	A		past	no	no			T
book239		'm saying		say	c		present	A		present	yes	no			T
book16		was not believing		believe in		n	past	A		past	yes	no			T
book185		are Cabal going		go			present	A	q	future	yes	no		continuous?	T
book284		'm getting		get	c		present	A		present	yes	no	gradual change		T
book94		was confident when facing		face			NOT progressive	A		past	yes	no			T
book114		was taking		take			past	A		past	yes	no			T
book257		was forever astonishing		astonish			past	A		past	yes	yes		continuous?	T
book215		are you doing		do			present	A	q	present	yes	no			T
book251		been making		make fun			perfect	A		past	yes	no			T
book209		're not ever going		go	c	n	GOING TO	A		present	yes	no			T
book17		was flying		fly over			past	A		past	yes	no			T
book71		was going		go			GOING TO	A		past	yes	no			T
book175		were looking		look at			past	A		past	yes	no			T
book280		am telling		tell			present	A		present	yes	no	framing		T
book128		been for fearing		fear			NOT progressive	A		perfect	yes	no			T
book73		're not even going		go	c	n	GOING TO	A		present	yes	no			T
book16		is dying		die			present	A		general	yes	no	gradual change		T
book251		's the Thing talking		talk about	c		present	A	q	present	yes	no			T
book210		been guarding		guard			perfect	A		past	yes	unclear			T
book25		'm going		go	c		GOING TO	A		present	yes	no			T
book286		wasn't working		work	c	n	past	A		past	yes	no			T
book163		was suddenly becoming		become			past	A		past	yes	no	gradual change		T
book132		are organising		organise			present	A		present	yes	no			T
book222		were starting		start			past	A		past	yes	no	gradual change	odd	T
book260		been popping		pop			perfect	A		perfect	no	unclear			T
book192		's me who's forcing		force open	c		present	A		hypothetical	no	no			T
book185		was pushing		push			past	A		past	no	no			T
book86		be sucking		suck wind	c		modal	A		future	yes	no			T
book272		's like having		have	c		NOT progressive	A		present	yes	no			T
book230		been interfering		interfere	c	n	perfect	A		past/present	yes	unclear			T
book0		was holding		hold out			past	A		past	yes	no			T
book104		are betting		bet			present	A		present	yes	yes			T
book70		were discussing		discuss			past	A		past	yes	no			T
book2		's taking		take	c		present	A		present	yes	no			T
book151		was two people talking		talk			NOT progressive	A		past	yes	no			T
book253		were looking		look into			past	A		past	yes	no			T
book125		was like treading		tread			NOT progressive	A		past	yes	no			T
book46		was merely unfolding		unfold			past	A		past	yes	no			T
book285		's a howling		howl	c		NOT progressive	A		present	yes	no			T
book221		are asking		ask for			present	A		present	yes	yes			T
book36		were looking		look forward			past	A		past	yes	no			T
book179		was looking		look at			past	A		past	yes	no			T
book228		was like pulling		pull			NOT progressive	A		past	yes	no			T
book192		's looking		look	c		present	A		present	yes	no			T
book298		wasn't scared of going		go	c	n	NOT progressive	A		past	yes	no			T
book231		been worrying		worry	c		perfect	A		past/present	yes	yes			T
book142		were hoisting		hoist			past	A		past	yes	no			T
book31		was holding		hold			past	A		past	yes	no			T
book251		're just putting		put on	c		present	A		present	yes	no			T
book226		been playing		play	c		perfect	A		past/present	unclear	no			T
book253		was in fact fighting		fight			past	A		past	yes	no			T
book220		's better than covering		cover	c		NOT progressive	A		present	yes	no			T
book55		is Mrs. Coulter keeping		keep			present	A	q	present	yes	yes			T
book209		's keeping		keep	c		present	A		present	yes	unclear			T
book98		were listening		listen			past	A	q	past	yes	no			T
book5		's doing		do	c		present	A		present	yes	unclear			T
book77		are now beginning		begin			present	A		present	yes	no	gradual change		T
book251		is simply ghastly, having		have			NOT progressive	A		present	yes	no			T
book18		are talking		talk about			present	A		present	yes	yes			T
book293		was beginning		begin			past	A		past	yes	no	gradual change		T
book131		was plucking		pluck			past	A		past	yes	no			T
book226		's guarding		guard	c		present	A		present	yes	no			T
book254		was fixing		fix			past	A		past	yes	no			T
book71		been working		work on			perfect	A		past/present	yes	no			T
book95		'm doing		do	c		present	A		present	yes	yes			T
book194		's as wearing		wear	c		NOT progressive	A		present	yes	no			T
book85		was cutting		cut			past	A		past	yes	no	framing		T
book66		's going		go on	c		present	A	q	present	yes	no			T
book36		was also being		put off			past	P		past	yes	no			T
book1		'm not going		go	c	n	GOING TO	A		present	yes	no			T
book120		was going		go			past	A		past	yes	no			T
book245		was red with repressed crying		cry			NOT progressive	A		past	yes	no			T
book107		been leaning		lean	c		perfect	A		past/present	yes	no			T
book113		was looking		look at			past	A		past	yes	no			T
book285		was floating		float			past	A		past	yes	no			T
book272		be dying		die			modal	A		present	yes	no	gradual change		T
book259		was saying		say			past	A		past	no	no			T
book250		was coming		come			past	A		past	yes	no	gradual change		T
book90		was standing		stand			past	A		past	yes	no			T
book188		were being		discount			past	P		past	no	yes			T
book198		were bobbing		bob			past	A		past	no	no			T
book107		been waiting		wait	c		perfect	A		past/present	yes	no			T
book151		was not laughing		laugh		n	past	A		past	yes	no			T
book296		be learning		learn	c	n	modal	A		future	yes	yes			T
book233		was eating		eat			past	A		past	yes	no	framing		T
book271		was speaking		speak			past	A		past	yes	no			T
book141		're stripping		strip	c		NOT progressive	A		present	yes	no			T
book78		is presenting		present			present	A		present	yes	no			T
book50		was going		go			GOING TO	A		past	yes	no			T
book17		was murdering		murder			past	A		past	yes	no			T
book236		were trying		try			past	A		past	yes	no			T
book85		were running		run down			past	A		past	yes	no			T
book183		was wearing		wear			past	A		past	yes	no			T
book37		was raining		rain			past	A		past	yes	no			T
book18		were going		go			GOING TO	A		past	yes	no			T
book86		was praying		pray			past	A		past	yes	no			T
book183		were jogging		jog			past	A		past	yes	no	framing		T
book169		were already staring		stare			past	A		past	yes	no			T
book182		is squinting		squint			present	A		present	yes	no			T
book35		was doubting		doubt			past	A		past	yes	no	framing		T
book152		is standing		stand			present	A		present	yes	no			T
book99		were supposed to be doing		do			catenative	A		past	yes	no			T
book135		'm taking		take	c		present	A		future	no	no			T
book17		been settling		settle			perfect	A		past	no	no			T
book126		're getting		get	c		present	A		present	yes	no	gradual change		T
book98		been attempting		attempt			perfect	A		past	yes	no			T
book30		was fishing		fish			past	A		past	yes	no	framing		T
book32		been digging		dig			perfect	A		past	yes	yes			T
book81		were inspecting		inspect			past	A		past	yes	no		narrator's/speaker's impression	T
book275		was a living		live			NOT progressive	A		past	yes	no			T
book36		was like hearing		hear			NOT progressive	A		past	yes	no			T
book163		were weighing		weigh down			past	A		past	yes	no			T
book31		weren't showing		show	c	n	past	A		past	yes	no			T
book1		was watching		watch			past	A		past	yes	no		narrator's/speaker's impression	T
book75		were being		be			past	A		past	yes	unclear	framing		T
book68		Are you threatening		threaten			present	A	q	present	no	no	emphasis/shock		T
book295		was still struggling		struggle			past	A		past	yes	no			T
book256		was not used to fighting		fight		n	NOT progressive	A		past	yes	no			T
book89		were all holding		hold			past	A		past	yes	no			T
book106		's always trying		try	c		present	A		present	yes	yes			T
book195		was touching me, slipping		touch			past	A		past	yes	no			T
book251		was bowing		bow			past	A		past	no	no			T
book168		was going		go			GOING TO	A		past	yes	no			T
book196		were trying		try			past	A		past	yes	yes			T
book10		was running		run			past	A		past	yes	no			T
book42		am going		go			GOING TO	A		present	yes	no			T
book168		was still humming		hum			past	A		past	yes	no	framing		T
book169		was shaking		shake			past	A		past	yes	no			T
book38		was whirling		whirl			past	A		past	yes	no			T
book210		were usually watching		watch			past	A		general	yes	yes			T
book284		are chirping		chirp			present	A		present	yes	no			T
book126		's looking		look	c		present	A		present	yes	no			T
book188		is pointing		point			present	A		present	yes	no			T
book166		aren't interested in singing		sing	c	n	NOT progressive	A		present	yes	no			T
book224		wasn't going		go	c	n	GOING TO	A		past	yes	no			T
book171		was 'running		run late	c		past	A		past	yes	no			T
book141		are we going		go			GOING TO	A		present	yes	no			T
book266		been eluding		elude			perfect	A		past	no	unclear			T
book138		was terrified of getting		get			NOT progressive	A		past	yes	no			T
book168		were three of them talking		talk			NOT progressive	A		past	yes	no			T
book15		are going		go			GOING TO	A		present	yes	no			T
book189		was waking		wake up			past	A		past	no	no			T
book24		be getting		get	c		modal	A		present	no	no			T
book15		was playing		play			past	A		past	yes	no			T
book81		was feeling		feel			past	A		past	yes	no			T
book273		be handy for storing		store			NOT progressive	A		modal/infinitive	yes	no			T
book25		's sleeping		sleep	c		present	A		present	yes	no			T
book182		were going		go			past	A		past	no	no			T
book283		're just living		live	c		present	A		present	yes	no			T
book99		'm going		go	c		GOING TO	A		present	yes	no			T
book178		were getting		get on			past	A		past	yes	no	framing		T
book56		were standing		stand			past	A		past	yes	no			T
book235		're imagining		imagine	c		present	A		present	yes	no			T
book239		was afraid he was going		go			GOING TO	A		past	yes	no			T
book16		was hearing		hear			past	A		past	yes	no			T
book88		was trying		try			past	A		past	yes	no			T
book271		was dancing		dance			past	A		past	yes	no			T
book26		was standing		stand			past	A		past	yes	no			T
book5		am ringing		ring			present	A		present	no	no			T
book17		was getting		get underway			past	A		past	yes	no			T
book26		was thinking		think			past	A		past/present	yes	no			T
book96		was still standing		stand			past	A		past	yes	no			T
book46		was nodding		nod off			past	A		past	no	no			T
book284		is going		go			GOING TO	A		present	yes	no			T
book122		was hovering		hover			past	A		past	yes	no			T
book114		was going		go			GOING TO	A		past	yes	no			T
book138		is not running		run		n	present	A		future	yes	no		or present ref.?	T
book38		were just free.. thinking		think			NOT progressive	A		past	yes	no			T
book257		were running		run away			past	A		past	yes	no			T
book166		is waiting		wait			present	A		present	yes	no			T
book226		was thinking		think			past	A		past	yes	no			T
book168		was Cooper, holding		hold			NOT progressive	A		past	yes	no			T
book67		was not feeling		feel		n	past	A		past	yes	no			T
book136		were going		go through			past	A		past	yes	no			T
book206		was no point persisting		persist			NOT progressive	A		past	yes	no			T
book105		were still jangling		jangle			past	A		past	yes	no			T
book70		was going		go			GOING TO	A		past	yes	no			T
book299		're getting		get	c		present	A		present	no	no			T
book247		been having		have			perfect	A		past/present	yes	yes			T
book85		were laughing and singing		laugh			past	A		past	yes	no			T
book206		was wading		wade			past	A		past	yes	no		narrator's/speaker's impression (hypothetical ref.?)	T
book212		be me they remember saying		say			NOT progressive	A		modal/infinitive	yes	no			T
book288		were talking		talk about			past	A		past	yes	no			T
book109		was playacting		playact			past	A		past	yes	no			T
book70		were queueing		queue up			past	A		past	yes	no			T
book70		was juft fweeping		sweep up			past	A		past	yes	no	framing		T
book271		was running		run			past	A		past	yes	no			T
book188		were least expecting		expect			past	A		past	yes	no			T
book128		'm going		go	c		present	A		future	unclear	no			T
book167		'm not going		go	c	n	GOING TO	A		present	yes	no			T
book104		was all going		go			GOING TO	A		past	yes	no			T
book171		were all thinking		think			past	A		past	yes	no			T
book22		's pitching		pitch	c		present	A	q	future	no	no			T
book33		was still watching		watch			past	A		past	yes	no			T
book203		are you doing		do			present	A	q	present	yes	no			T
book52		was, having		have			NOT progressive	A		past	yes	no			T
book156		was going		go			GOING TO	A		past	yes	no			T
book179		was talking		talk about			past	A		past	yes	no			T
book151		's doing		do	c		present	A		present	yes	yes			T
book278		were pushing		push through			past	A		past	no	no			T
book37		Are you going		go			GOING TO	A		present	yes	no			T
book283		been standing		stand			perfect	A		past	yes	no			T
book246		was whining		whine			past	A		past	yes	no			T
book29		are you doing		do			present	A	q	present	yes	no			T
book151		was wearing		wear			past	A		past	yes	no			T
book248		were moving		move			past	A		past	yes	no			T
book263		was to make gurgling		gurgle			NOT progressive	A		past	yes	no			T
book21		was adept at running		run			NOT progressive	A		past	yes	no			T
book16		is reading		read			present	A		general	yes	yes		BFG grammar!	T
book115		was living		live			past	A		past	yes	no			T
book6		's going		go	c		GOING TO	A		present	yes	no			T
book165		was being		bring			past	P		past	yes	unclear		present or future reference from the character’s POV	T
book124		Are you going		go			GOING TO	A		present	yes	no			T
book198		be exceeding		exceed			NOT progressive	A		modal/infinitive	yes	no			T
book19		be returning		return			modal	A		future	no	no			T
book238		're not going		go	c	n	GOING TO	A		present	yes	no			T
book250		were thinking		think			past	A		past	yes	no			T
book206		were shaking		shake			past	A		past	yes	no			T
book248		been saying		say			perfect	A		past/present	no	yes			T
book144		were standing		stand by			past	A		past	yes	no			T
book55		was standing		stand			past	A		past	yes	no			T
book244		'm not going		go	c	n	GOING TO	A		present	yes	no			T
book107		are compressing and pulling		compress			present	A		present	no	no		narrator's/speaker's impression (hypothetical ref.?)	T
book223		're taking		take	c		present	A		future	yes	no			T
book9		're going		go	c		GOING TO	A		present	yes	no			T
book277		are weakening		weaken			present	A		present	yes	no	gradual change		T
book55		'm going		go	c		GOING TO	A		present	yes	no			T
book235		were coming		come			NOT progressive	A		past	yes	no			T
book127		been expecting		expect	c	n	perfect	A	q	past	yes	no			T
book27		was getting		get			past	A		past	yes	no	gradual change		T
book36		is perhaps a living		live			NOT progressive	A		present	yes	no			T
book91		was like trying		try			NOT progressive	A		past	yes	no			T
book120		is going		go			GOING TO	A		present	yes	no			T
book139		was talking		talk about			past	A		past	yes	no			T
book43		wasn't listening		listen	c	n	past	A		past	yes	no			T
book157		was growing		grow			past	A		past	yes	no	gradual change		T
book100		were bending		bend over			past	A		past	no	no	framing		T
book132		was pretending		pretend			past	A		past	yes	no			T
book39		's going		go	c		GOING TO	A		present	yes	no			T
book260		was water tinkling		tinkle			NOT progressive	A		past	yes	no			T
book130		was pleased, having		have			NOT progressive	A		past	yes	no			T
book44		is putting		put			present	A		unclear	no	unclear		not sure what this means	T
book58		'm reading		read	c		present	A		general	yes	no			T
book266		were no marks or lettering		letter			NOT progressive	A		past	yes	no			T
book53		were merely waiting		wait			past	A		unclear	yes	no			T
book285		'm choking		choke	c		present	A		present	yes	no			T
book72		was now only gripping		grip			past	A		past	yes	no			T
book148		was shivering		shiver			past	A		past	no	no			T
book234		is bringing		bring about			present	A		general	no	no			T
book59		are you away hunting		hunt			NOT progressive	A		present	yes	no			T
book192		been stretching		stretch			perfect	A		past	yes	no	framing		T
book160		am I going		go			GOING TO	A		present	yes	no			T
book201		was a tinker--a travelling		travel			NOT progressive	A		past	yes	no			T
book270		be gathering		gather			modal	A		future	yes	no			T
book187		be panicking		panic			modal	A		past	yes	no			T
book190		was getting		get			past	A		past	yes	no	gradual change		T
book84		was having		have			past	A		present	yes	no			T
book32		were rushing		rush over			past	A		past	no	no			T
book223		was going		go			GOING TO	A		past	yes	no			T
book213		been wondering		wonder	c		perfect	A		past/present	yes	unclear			T
book35		was sitting staring		sit			past	A		past	yes	no			T
book105		was panicking		panic			past	A		past	yes	no			T
book57		were still clucking		cluck			past	A		past	yes	no			T
book281		was lying		lie			past	A		past	yes	no			T
book76		are thinking		think			present	A		general	yes	no			T
book296		was happening		happen			past	A		past	yes	no			T
book129		'm the one making		make	c		NOT progressive	A		present	yes	no			T
book295		was being		draw in			past	P		past	yes	no	gradual change		T
book266		was looking		look			past	A		past	yes	no	framing		T
book51		'm going		go	c		GOING TO	A		present	yes	no			T
book159		was doing		do			past	A		past	yes	no			T
book41		's concentrating		concentrate	c		present	A		present	yes	unclear			T
book58		was going		go			GOING TO	A		past	yes	no			T
book63		was doing		do			past	A		past	yes	no			T
book254		was thinking		think			past	A		past	yes	no			T
book40		's going		go on	c		present	A		present	yes	no			T
book267		was transferred onto worrying		worry			NOT progressive	A		past	yes	no			T
book5		been sitting		sit down			perfect	A		past	no	no	framing		T
book50		're meddling		meddle	c		present	A		present	yes	no			T
book24		were looking		look at			past	A		past	yes	no			T
book28		was vaguely worrying		worry			past	A		past	yes	no			T
book74		been trying		try	c		perfect	A		past/present	yes	no			T
book109		been teaching		teach	c		perfect	A		hypothetical	yes	no			T
book163		is hunting		hunt			present	A		present	yes	no			T
book4		was rasping		rasp			past	A		past	yes	no			T
book64		is watching		watch			present	A		present	yes	no			T
book58		was coming		come			past	A		past	yes	no			T
book197		was speaking		speak			past	A		past	yes	no			T
book67		was not going		go		n	GOING TO	A		past	yes	no			T
book102		were muttering		mutter			past	A		past	yes	no			T
book180		was eating		eat			past	A		past	yes	no	framing		T
book274		were just giving		give			past	A		past	yes	unclear			T
book223		was hiding		hide			past	A		past	yes	no			T
book83		was trying		try			past	A		past	yes	no			T
book208		Are you feeling		feel			present	A	q	present	yes	no			T
book69		were still strolling		stroll around			past	A		past	yes	no			T
book128		're monopolizing		monopolize	c		present	A		present	yes	no			T
book76		Are you suggesting		suggest			present	A	q	present	yes	no	emphasis/shock		T
book163		been sulking		sulk			perfect	A		past/present	yes	no			T
book4		's getting		get	c		present	A		present	yes	no	gradual change		T
book166		was a music-maker by accepting		accept			NOT progressive	A		past	yes	no			T
book114		been expecting		expect	c		perfect	A		past	yes	no			T
book60		was infuriating		infuriate			NOT progressive	A		past	yes	no			T
book16		is winkling		winkle out			present	A		present	no	no			T
book146		ARE ESCAPING		escape			present	A		present	yes	no			T
book101		were sitting		sit			past	A		past	yes	no			T
book23		is calling		call			present	A	q	present	yes	no			T
book115		was being		be			past	A		past	yes	no			T
book67		was dancing		dance			NOT progressive	A		past	yes	no			T
book227		was there, reading		read			NOT progressive	A		past	yes	no			T
book246		are weeping		weep			present	A	q	unclear	yes	no			T
book158		be living		live			modal	A		future	yes	no			T
book1		be thinking of getting		think	c		modal	A		future	yes	no	reported speech/thought		T
book211		's going		go	c		GOING TO	A		present	yes	no			T
book123		're looking		look for	c		present	A		present	yes	no			T
book189		be a loafer hanging		hang			NOT progressive	A		modal/infinitive	yes	no			T
book240		be trying		try			modal	A		hypothetical	yes	no			T
book244		were baying and yelping		bay			past	A		past	yes	no			T
book219		was shaking		shake			past	A		past	yes	no			T
book177		was going		go			GOING TO	A		past	yes	no			T
book278		am not going		go		n	GOING TO	A		present	yes	no			T
book253		were carrying		carry			past	A		past	yes	no			T
book54		been sharing		share	c		perfect	A		hypothetical	yes	no			T
book138		were actually saying		say			past	A		past	no	no	emphasis/shock		T
book176		were beginning		begin			past	A		past	yes	no	gradual change		T
book129		's only answering		answer	c		present	A		present	no	no			T
book52		was staring		stare into			past	A		past	yes	no			T
book222		was lying		lie			past	A		past	yes	no			T
book124		was going		go through			past	A		past	yes	no			T
book4		are now traversing		traverse			present	A		present	yes	no			T
book120		are going		go			GOING TO	A		present	yes	no			T
book68		been reviewing		review	c		perfect	A		past/present	yes	no			T
book104		was coming		come from			past	A		past	no	no			T
book166		is the significance of buying		buy			NOT progressive	A		present	yes	no			T
book113		be explaining		explain			NOT progressive	A		past	yes	no			T
book215		been crying		cry	c		perfect	A		past	yes	no		narrator's/speaker's impression	T
book76		is Ankh-Morpork slicing		slice			NOT progressive	A		present	yes	no			T
book98		be getting		get			catenative	A		past	yes	no	gradual change	narrator's/speaker’s impression	T
book19		is being		get ready			present	P		present	yes	no			T
book244		be sporting		sport			NOT progressive	A		modal/infinitive	yes	no			T
book96		was doing		do			past	A		past	yes	no			T
book220		was well into the milking		milk			NOT progressive	A		past	yes	no			T
book23		was streaming		stream			past	A		past	yes	no			T
book179		was hanging		hang			past	A		past	yes	no			T
book96		were picking		pick			past	A		present	no	no			T
book96		's happening		happen	c		present	A		present	yes	no			T
book230		was trying		try			past	A		past	yes	no			T
book250		be even worse than trying		try			NOT progressive	A		modal/infinitive	yes	no			T
book212		was looking		look at			past	A		past	yes	no			T
book127		was making		make sense			past	A		past	yes	no			T
book294		was getting		get			past	A		general	yes	no	gradual change		T
book209		's lying		lie	c		present	A		present	yes	unclear			T
book34		are deceiving		deceive			NOT progressive	A		present	yes	no			T
book93		weren't going		go	c	n	GOING TO	A		past	yes	no			T
book278		are you thinking		think about			present	A	q	present	yes	no			T
book196		was naming		name			past	A		past	no	no			T
book179		're not wearing		wear	c	n	present	A		present	yes	no			T
book98		are you going		go			GOING TO	A		present	yes	no			T
book200		are you talking		talk			present	A	q	present	yes	unclear			T
book137		'm still panicking		panic	c		present	A		present	yes	yes			T
book53		was beginning		begin			past	A		past	yes	no	gradual change		T
book159		were all murmuring		murmur			past	A		past	yes	no			T
book230		's getting		get	c		present	A		present	yes	no			T
book243		was waiting		wait			past	A		past	yes	no			T
book27		were kissing		kiss			past	A		past	yes	no	framing		T
book180		're doing		do	c		present	A	q	present	yes	no	emphasis/shock		T
book168		was writing		write			past	A		past	yes	no			T
book16		is never doing		do		n	present	A		present	no	yes			T
book231		is coming		come			present	A		general	no	unclear			T
book205		Was anyone guarding		guard			present	A	q	present	yes	no			T
book75		's going		go	c		GOING TO	A		present	yes	no			T
book226		was reading		read out			past	A		past	no	no			T
book126		's panting and barking		pant	c		NOT progressive	A		present	yes	no			T
book92		was starving		starve			past	A		past	yes	no	emphasis/shock		T
book1		was van- ishing		vanish			past	A		past	yes	no	gradual change		T
book154		be sitting		sit			modal	A		hypothetical	yes	no			T
book45		was cleaning		clean			past	A		past	yes	no			T
book237		was still chewing		chew away			past	A		past	yes	no	framing		T
book254		's telling		tell	c		present	A		present	no	unclear			T
book33		was going		go			GOING TO	A		past	yes	no			T
book120		was coming		come			past	A		present	yes	no			T
book208		is Melissa being		be			present	A	q	present	yes	no			T
book50		's trying		try	c		present	A		present	yes	no			T
book122		's currently saying		say	c		present	A		present	no	no			T
book120		'm known for being		be	c		NOT progressive	A		present	yes	no			T
book9		're not taking		take	c	n	present	A		future	no	no			T
book15		are you three going		go			GOING TO	A		present	yes	no			T
book62		's where Curry's is going		go	c		GOING TO	A		present	yes	no			T
book44		was at shouting		shout			NOT progressive	A		past	yes	no			T
book62		'm not going		go	c	n	GOING TO	A		present	yes	no			T
book255		was reading		read			past	A		past	yes	no			T
book22		were lounging		lounge			past	A		past	yes	no			T
book95		am trying		try			present	A		present	yes	no			T
book124		was being		block			past	P		past	no	no			T
book244		were lying		lie			past	A		past	yes	no			T
book153		were doing		do			past	A		past	yes	no		narrator's/speaker’s impression	T
book284		is going		go			present	A		future	no	no			T
book107		Are we sending		send in			present	A	q	future	no	no			T
book57		's that fellow coming		come	c		NOT progressive	A		present	yes	no			T
book4		is what I call thinking		think			NOT progressive	A		present	yes	no			T
book150		was starving		starve			past	A		past	yes	no			T
book257		be meeting		meet	c		modal	A		future	no	no			T
book40		was for eating		eat			NOT progressive	A		past	yes	no			T
book91		'm saying		say	c		present	A	q	present	yes	no		pragmatic marker?	T
book152		is thinking		think			present	A		present	yes	no			T
book132		's going		go on	c		present	A		present	yes	no			T
book16		is hearing		hear			present	A		present	yes	yes			T
book142		'm giving		give	c		present	A		present	no	no			T
book147		were drinking		drink			past	A		past	yes	no			T
book41		was going		go			GOING TO	A		past	yes	no			T
book181		been reading		read	c		perfect	A		past	yes	yes			T
book80		was thinking		think about			past	A		past	yes	no			T
book149		was clashing		clash			past	A		past	no	no			T
book244		was thinking		think			past	A		past	yes	no			T
book28		was grinning		grin			past	A		hypothetical	yes	no		narrator's/speaker’s impression (hypothetical ref.?)	T
book17		wasn't planning		plan	c	n	past	A		past	yes	no			T
