Author,Year,Title,Focus,Nb.TxBs,Setting,TxB level,TxB market,TxB pub.date,TxB content studied,Methodology,Reference corpus,Full bibiographic reference
Salazar Campillo,2007,Examining Mitigation in Requests: A Focus on Transcripts in ELT Coursebooks,mitigation in requests,5,ESP,intermediate-upper-intermediate ,international,1994–1998,transcripts only,page-by-page analysis,,"Salazar Campillo, Patricia. 2007. Examining Mitigation in Requests: A Focus on Transcripts in ELT Coursebooks. In Eva Alcón Soler & Maria Pilar Safont Jordà (eds.), Intercultural Language Use and Language Learning, 207–222. Dordrecht: Springer. doi:10.1007/978-1-4020-5639-0_11"
Salazar Campillo & Usó-Juan,2001,The speech act of requesting in ESP materials: An example based on tourism course books,requesting,5,ESP,intermediate-upper-intermediate ,international,1994-1998,,page-by-page survey,,"Salazar Campillo, P. & E. Usó Juan. 2001. The Speech Act of Requesting in ESP Materials: An Example Based on Tourism Course Books. Methodology and new technologies in language for specific purposes. Castelló: Servei de Publicacions de la Universitat Jaume I. 95–105."
Schauer & Adolphs,2006,"Expressions of gratitude in corpus and DCT data: Vocabulary, formulaic sequences, and pedagogy",expressions of gratitude,4,EFL/ESL,beginner-intermediate,international,2000–2005,,comparison of expressions of gratitude taught in textbooks with those elicited in 8 discourse completion tasks (DCT) completed by 16 native speakers and in the CANCODE,"128 transcripts of DCT and Cambridge and Nottingham Corpus of Discourse in English (CANCODE, ca. 5 million words) (cf. Mcarthy, 1998)","Schauer, Gila A. & Svenja Adolphs. 2006. Expressions of Gratitude in Corpus and DCT Data: Vocabulary, Formulaic Sequences, and Pedagogy. System 34(1). 119–134. doi:10.1016/j.system.2005.09.003"
Schlüter,2002,Present perfect: eine korpuslinguistische Analyse des englischen Perfekts mit Vermittlungsvorschlägen für den Sprachunterricht,present perfect,12,ELF,beginner-upper intermediate,"local: Germany, secondary school",,"no textbook corpus analysis, only focuses on explicit grammar sections, includes accompanying material",reference corpus-driven (but no textbook corpus analysis),"20/34 files of Corpus of English Conversation (113,000 words), AE/BE informative text (133,500 words) and AE/BE fictional writing (236,000 words) ","Schlüter, Norbert. 2002. Present perfect: eine korpuslinguistische Analyse des englischen Perfekts mit Vermittlungsvorschlägen für den Sprachunterricht (Language in Performance 25). Tübingen: Narr. "
Scotton & Bernsten,1988,Natural conversations as a model for textbook dialogue,direction giving,,ESL/EFL,,,1981–1982,only includes anecdotal references to various textbooks,comparison of textbook dialogues with real conversations,recordings of real elicited conversations,"Scotton, Carol Myers & Janice Bernsten. 1988. Natural Conversations as a Model for Textbook Dialogue. Applied Linguistics 9(4). 372–384. doi:10.1093/applin/9.4.372"
Shin & Chon,2011,A corpus-based analysis of curriculum-based elementary and secondary English textbooks.,vocabulary,140,EFL,primary and early secondary,local: South Korea,,,comparisons with existing words lists,"GLS (West, 1953), Academic Word List (Coxhead, 2000), BNC1994, Brown, LOB, ","Shin, Dongkwang & Yuah Vicky Chon. 2011. A Corpus-Based Analysis of Curriculum-Based Elementary and Secondary English Textbooks. Multimedia-Assisted Language Learning 14(1). 149–179. doi:10.15702/mall.2011.14.1.145"
Shortall,2007,The L2 syllabus: corpus or contrivance?,present perfect,32 (13 series),EFL/ESL,beginner-intermediate,international,1979–1996,“only [...] sentences from units that provide instruction on [the present perfect]”,comparative corpus-based,Bank of English (spoken),"Shortall, T. (2007). The L2 syllabus: Corpus or contrivance? Corpora, 2(2), 157–185. https://doi.org/10.3366/cor.2007.2.2.157
"
Sinclair & Renouf ,1988,A lexical syllabus for language learning,various,9,EFL,,,,,comparative corpus-driven,Birmingham Corpus (7.3 million words),"Sinclair, John & Antoinette Renouf. 1988. A Lexical Syllabus for Language Learning. In Ronald Carter & Michael McCarthy (eds.), Vocabulary and Language Teaching, 140–158. Harlow: Longman. "
Tai,2004,A Corpus-Based Analysis of Discourse Markers in Curriculum-Based English Textbooks and the English Entrance Exam in Taiwan,discourse markers,24,EFL,junior high school,"local, Taiwan",2014,"readings, dialogues, listening comprehension texts",corpus-based comparisons with test items on Basic Competence Test for Junior high school in Taiwan,,"Tai, T. Y. (2016). A Corpus-Based Analysis of Discourse Markers in Curriculum-Based English Textbooks and the English Entrance Exam in Taiwan. The Journal of AsiaTEFL, 13(4), 262–279. https://doi.org/10.18823/asiatefl.2016.13.4.2.262"
Tono,2004,"Multiple comparisons of IL, L1 and TL corpora: The case of L2 acquisition of verb subcategorization patterns by Japanese learners of English",verb subcategorisation patterns,?,EFL,,"local: Japan, junior and senior high school ",,"textbook corpus: 650,000 words",comparative corpus-driven,L1 (Japanese) corpus and Japanese learners’ interlanguage,"Tono, Yukio. 2004. Multiple Comparisons of IL, L1 and TL Corpora: The Case of L2 Acquisition of Verb Subcategorization Patterns by Japanese Learners of English. In Guy Aston, Silvia Bernardini & Dominic Stewart (eds.), Studies in Corpus Linguistics, vol. 17, 45–66. Amsterdam: John Benjamins Publishing Company. doi:10.1075/scl.17.05ton"
Usó-Juan,2007,The Presentation and Practice of the Communicative Act of Requesting in Textbooks: Focusing on Modifiers,request realisation strategies,5,ESP,intermediate-upper-intermediate ,international,1994–1998,textbook activities only,page-by-page survey,,"Usó-Juan, Esther. 2007. The Presentation and Practice of the Communicative Act of Requesting in Textbooks: Focusing on Modifiers. In Eva Alcón Soler & Maria Pilar Safont Jordà (eds.), Intercultural Language Use and Language Learning, 223–243. Dordrecht: Springer Netherlands. doi:10.1007/978-1-4020-5639-0_12"
Usó-Juan,2008,A pragmatic-focused evaluation of requests and their modification devices in textbook conversations,requesting,8,EFL/ESL,intermediate-advanced ,international,1977–2006,focuses on textbook transcripts,evaluation of forms of realisations of requests according to existing taxonomy,,"Usó-Juan, Esther. 2008. A Pragmatic-Focused Evaluation of Requests and Their Modification Devices in Textbook Conversations. In Eva Alcón Soler (ed.), Learning How to Request in an Instructed Language Learning Context, 65–90. Bern: Peter Lang. "
Vellenga,2004,Learning Pragmatics from ESL & EFL Textbooks: How Likely?,pragmatic information,8,EFL/ESL,"intermediate, upper-intermediate",international,1996–2000,,page-by-page survey,,"Vellenga, Heidi. 2004. Learning Pragmatics from ESL & EFL Textbooks: How Likely? TESL-EJ Teaching English as a Second or Foreign Language 8(2). n. p. "
Vine,2013,Corpora and coursebooks compared: Category ambiguous words,category ambiguous words,2 full series,EFL/ESL,beginner-advanced,international,,full coursebooks + transcripts of audio materials,"comparative corpus-driven, learner corpus",general spoken and written BE and NZ English,"Vine, Elaine W. 2013. Corpora and Coursebooks Compared: Category Ambiguous Words. Twenty Years of Learner Corpus Research. Looking Back, Moving Ahead: Proceedings of the First Learner Corpus Research Conference (LCR 2011), vol. 1, 463–478. Presses Universitaires de Louvain. "
Winter & Le Foll,2022,"Testing the Pedagogical Norm: Comparing If-conditionals in EFL Textbooks, Learner Writing and English Outside the Classroom",conditionals,14,EFL,lower secondary school,local; France,2010–2017,full coursebooks + transcripts of audio and video materials,"comparative corpus-driven, learner corpus (French L1 subcorpus of the Open Cambridge Learner Corpus)","selected subcorpora of the BNC1994, the spoken BNC2014 and the Web Corpus 2015 (EnTenTen15)","Winter, Tatjana & Elen Le Foll. 2022. Testing the Pedagogical Norm: Comparing If-conditionals in EFL Textbooks, Learner Writing and English Outside the Classroom. International Journal of Learner Corpus Research."
Wood,2010,Lexical clusters in an EAP textbook corpus,lexical clusters,6,EAP,intermediate-advanced ,international,,"580,000 words",corpus-driven and page-by-page ‘intra-textbook study’,,"Wood, David. 2010. Lexical clusters in an EAP textbook corpus. In David Wood (ed.), Perspectives on formulaic language: acquisition and communication, 88–106. London ; New York: Continuum."
Wood,2014,Multiword constructions in first year business and engineering university textbooks and EAP textbooks,multi-word constructions,5,EAP,intermediate-advanced ,international,2004-2009,"(260,000 words)",comparative corpus-driven,corpus of ten first-year business and engineering textbooks (1.6 million words),"Wood, David & Randy Appel. 2014. Multiword constructions in first year business and engineering university textbooks and EAP textbooks. Journal of English for Academic Purposes 15. 1–13. https://doi.org/10.1016/j.jeap.2014.03.002"
"Yoo, I. W.",2009,The English definite article: What ESL/EFL grammars say and what corpus findings show,definite articles,21,EFL/ESL,beginner-advanced,international,2002–2007,page-by-page survey of textbook grammars,page-by-page analysis with reference to Biber et al.’s corpus-based findings (1999),LGSWE (40 million words) cf. Biber et al. (1999),"Yoo, Isaiah WonHo. 2009. The English Definite Article: What ESL/EFL Grammars Say and What Corpus Findings Show. Journal of English for Academic Purposes 8(4). 267–278. doi:10.1016/j.jeap.2009.07.004"
"Yoo, S.",2013,Hypothetical Would-Clauses in Korean EFL Textbooks: An Analysis Based on a Corpus Study and Focus on Form Approach,hypothetical would-clauses,5,EFL,beginner-upper intermediate,"local: Korea, secondary school",,analysis of 253 occurrences of would-clauses from the textbooks,page-by-page survey with reference refers to Frazier’s (2003) corpus-based findings,cf. Frazier (2003),"Yoo, Soyung. 2013. Hypothetical Would-Clauses in Korean EFL Textbooks: An Analysis Based on a Corpus Study and Focus on Form Approach. Portland State University M.A. doi:10.15760/etd.911 http://archives.pdx.edu/ds/psu/9367 (7 August, 2017)."
Zarifi & Mukundan,2012,Phrasal verbs in Malaysian ESL textbooks,phrasal verbs,5,ESL,beginner-upper intermediate,local: Malaysia,1990–2002,"spoken sections only (20,000 words)",comparative corpus-driven,BNC1994 (100 million words),"Zarifi, Abdolvahed & Jayakaran Mukundan. 2012. Phrasal Verbs in Malaysian ESL Textbooks. English Language Teaching 5(5). 9–18. doi:10.5539/elt.v5n5p9"
